Confidence intervals for the parameters
p2: [84.59860350478908, 119.29047495147293]
p3: [0.486310162066491, 0.5665999727774264]
p4: [3.8739178142285935, 4.20757781017939]
p5: [4.679939938188803, 7.238414513568382]
p6: [0.8201565743885982, 1.182418669500099]
p7: [11.573484524419536, 12.288870492625408]
p8: [15.594004085974149, 16.21816503873846]
p9: [3.9807616068408995, 4.020661757628559]
p10: [97.2931602620468, 101.43104867252003]
p11: [12.60538844443803, 13.266396445069347]
p12: [1.2634370883650528, 1.2958710139550824]
p13: [0.09554540702247741, 0.1046318437801422]
p14: [1.7559959034358572, 1.8448899489045156]
