Confidence intervals for the parameters
p2: [-173.236309256418, 424.10495343348606]
p3: [0.15794393897869224, 1.36813409349028]
p4: [2.155752993448849, 5.418229771625232]
p5: [-1.6345783548394, 19.946637613055643]
p6: [0.06678970573527487, 1.3410962796206494]
p7: [7.105981362134011, 12.581775017466097]
p8: [11.192800251478156, 16.404863605422513]
p9: [4.20921694854806, 4.645647521744702]
p10: [85.02531806377371, 118.47233617451201]
p11: [8.983685538242536, 13.93915842867294]
p12: [1.1722897474360394, 1.4492600461408842]
p13: [0.08134157457212214, 0.17976649000072314]
p14: [1.6838846182501954, 2.4840973611433843]
